itemLabel.value,film_id,year,instanceLabel,duration,englishTitle,originalTitle,description,genre,country,language,director,production_company,imdb_id,kinopoisk_id,cast,screenwriter,youtube_id,director_of_photography,composer,wikipedia_url
I Shall Never Forget,Q4535746,1983.0,['film'],86.0,['I Shall Never Forget'],['Я тебя никогда не забуду'],['1983 film by Pavel Kadochnikov'],['drama film'],['Soviet Union'],['Russian'],['Q384090'],['Lenfilm'],['tt0086614'],['42401'],['Q4279321'],['Pavel Kadochnikov'],['Bj7XsS0uHAk'],['Aleksandr Chirov'],['Vladislav Kladnitsky'],"['https://en.wikipedia.org/wiki/I_Shall_Never_Forget', 'https://ru.wikipedia.org/wiki/Я_тебя_никогда_не_забуду_(фильм,_1983)']"
Я любил вас больше жизни,Q4535701,1985.0,['film'],86.0,,['Я любил вас больше жизни'],['1985 film by Rasim Ismailov'],['drama film'],['Soviet Union'],['Russian'],['Q4204111'],,['tt0266069'],['272933'],"['Q4157950', 'Q4199839']",['Ramiz Fataliyev'],,['Valeri Kerimov'],['Agshin Alizadeh'],['https://ru.wikipedia.org/wiki/Я_любил_вас_больше_жизни']
Я придумываю песню,Q4535728,1979.0,['film'],74.0,,['Я придумываю песню'],['1979 film by Tofiq İsmayılov'],"['comedy film', 'musical film', 'drama film', ""children's film""]",['Soviet Union'],"['Russian', 'Azerbaijani']",['Q6556371'],['Azerbaijanfilm'],['tt2912992'],['661136'],"['Q2025779', 'Q4155313', 'Q4396168', 'Q4465673', 'Q16366904']",['Tofiq İsmayılov'],,['Zaur Magerramov'],['Polad Bulbuloghlu'],['https://ru.wikipedia.org/wiki/Я_придумываю_песню']
Очень скучная история,Q6817044,1988.0,['film'],65.0,,['Очень скучная история'],['1988 film by Camil Quliyev'],['drama film'],['Soviet Union'],['Russian'],['Q12838346'],['Azerbaijanfilm'],,['807022'],"['Q4062312', 'Q4497526', 'Q4517256', 'Q12840228']",,,['Rafiq Quliyev'],,['https://ru.wikipedia.org/wiki/Очень_скучная_история']
Дедушка дедушки нашего дедушки,Q6876462,1981.0,['film'],72.0,,['Дедушка дедушки нашего дедушки'],['1981 film by Tofig Taghizade'],['comedy film'],['Soviet Union'],['Azerbaijani'],['Q4449633'],['Azerbaijanfilm'],['tt1402414'],['459214'],"['Q94241', 'Q4152244', 'Q4334549', 'Q12840463', 'Q12845360', 'Q16374675']",['Ramiz Rovshan'],,['Gusejn Mekhtiyev'],,['https://ru.wikipedia.org/wiki/Дедушка_дедушки_нашего_дедушки']
The Enchanted Desna,Q7731993,1964.0,['film'],81.0,['The Enchanted Desna'],['Зачарованная Десна (фильм)'],['1964 film by Yuliya Solntseva'],['fantasy film'],['Soviet Union'],['Russian'],['Q2547318'],"['Mosfilm', 'Dovzhenko Film Studios']",['tt0175345'],['45196'],"['Q647413', 'Q3575559', 'Q20066560', 'Q22246755']",['Alexander Dovzhenko'],,['Aleksey Temerin'],['Gavriil Popov'],"['https://en.wikipedia.org/wiki/The_Enchanted_Desna', 'https://ru.wikipedia.org/wiki/Зачарованная_Десна_(фильм)']"
Tree Dzhamal,Q7837543,1981.0,['film'],,['Tree Dzhamal'],['Дерево Джамал'],['1981 film by Khodzhakuli Narliev'],,['Soviet Union'],['Russian'],['Q3196194'],,['tt0193087'],['44150'],['Q4058895'],['Maya-Gozel Aimedova'],,,,['https://en.wikipedia.org/wiki/Tree_Dzhamal']
Pod severnym siyaniyem,Q11293734,1990.0,['film'],,['Pod severnym siyaniyem'],['Под северным сиянием'],['1990 film by Toshio Gotō'],['adventure film'],"['Japan', 'Soviet Union']","['Japanese', 'Russian']","['Q4127199', 'Q7827754']","['Mosfilm', 'Toei Company']",['tt0100380'],['43036'],"['Q55207', 'Q975146', 'Q1488230', 'Q3293186', 'Q4091037']","['Atsushi Yamatoya', 'Valentin Ezhov']",,,,['https://ru.wikipedia.org/wiki/Под_северным_сиянием']
Pereprava,Q11829072,1988.0,['film'],175.0,['Pereprava'],['Красный цвет папоротника'],['war film of Polish-Soviet production from 1988'],"['war film', 'drama film']","['Poland', 'Soviet Union']","['German', 'Polish', 'Russian']","['Q3920850', 'Q6758800']",,['tt0300329'],['42928'],"['Q245356', 'Q724415', 'Q3482046', 'Q4185373', 'Q4236363', 'Q4283732', 'Q4315752', 'Q4937872', 'Q5917668', 'Q6430156', 'Q9140187', 'Q9153307', 'Q9251201', 'Q9265129', 'Q9382567', 'Q9389839', 'Q11725102', 'Q11728058', 'Q11779776', 'Q11818044']","['Viktor Turov', 'Jerzy Grzymkowski']",,"['Bogusław Lambach', 'Vladimir Sporyshkov']",,['https://ru.wikipedia.org/wiki/Красный_цвет_папоротника']
Исполняющий обязанности,Q12089320,1973.0,['film'],82.0,,['Исполняющий обязанности'],['1973 film by Irina Povolotskaya'],['melodrama'],['Soviet Union'],['Russian'],['Q4366462'],['Lenfilm'],['tt0070231'],['42637'],['Q21970632'],['Aleksandr Chervinsky'],,['Valery Fedosov'],['Bulat Okudzhava'],['https://ru.wikipedia.org/wiki/Исполняющий_обязанности_(фильм)']
Два дня в начале декабря,Q12099656,1981.0,['film'],,,['Два дня в начале декабря'],['1981 Soviet film by Borys Ivchenko'],['drama film'],['Soviet Union'],['Russian'],['Q5825465'],,['tt5539440'],['650732'],,,['6t-sNoonp44'],,,[]
Юлия Вревская,Q12299524,1977.0,['film'],139.0,,['Юлия Вревская'],['1977 film by Nikola Korabov'],"['war film', 'biographical film', 'historical film']","['Soviet Union', ""People's Republic of Bulgaria""]","['Russian', 'Bulgarian']",['Q3656850'],"['Mosfilm', 'Nu Boyana Film']",['tt0076946'],['42464'],"['Q287110', 'Q378333', 'Q464265', 'Q603381', 'Q694971', 'Q787038', 'Q894310', 'Q1966992', 'Q2425090']","['Nikola Korabov', 'Semyon Lungin', 'Stefan Tsanev']",,['Vadim Yusov'],"['Vladimir Vasiliev', 'Vladimir Vasilyev', 'Toncho Rusev']",['https://ru.wikipedia.org/wiki/Юлия_Вревская_(фильм)']
"Ромео, мой сосед",Q12845069,1963.0,['film'],66.0,,"['Ромео, мой сосед']",['1963 film by Şamil Mahmudbəyov'],"['comedy film', 'musical film']",['Soviet Union'],['Azerbaijani'],['Q16378050'],['Azerbaijanfilm'],,,"['Q2376266', 'Q3744780', 'Q4071343', 'Q4203841']",['Iosif Prut'],,['Teyub Akundov'],['Rauf Hajiyev'],"['https://ru.wikipedia.org/wiki/Ромео,_мой_сосед']"
Ожившие легенды,Q12861658,1976.0,['film'],68.0,,['Ожившие легенды'],['1976 film directed by Nodar Managadze'],['drama film'],['Soviet Union'],"['Russian', 'Georgian']",['Q13218076'],['Kartuli Pilmi'],['tt0280698'],['44471'],"['Q2382172', 'Q4363502', 'Q4518451']","['Erlom Akhvlediani', 'Nodar Managadze']",,,['Nodar Gabunia'],['https://ru.wikipedia.org/wiki/Ожившие_легенды']
Mother Anoush,Q13050864,1983.0,['film'],80.0,['Mother Anoush'],['Мама Ануш'],['1983 film'],['melodrama'],['Soviet Union'],['Russian'],['Q20510114'],['Armenfilm'],['tt4003504'],['585228'],"['Q1710233', 'Q2632355', 'Q4218824', 'Q4523123', 'Q20507095', 'Q20508902']",['Anatoly Galiev'],,['Armen Mirakyan'],['Emma Mihranyan'],['https://ru.wikipedia.org/wiki/Мама_Ануш']
Исполнение желаний,Q13156635,1974.0,['film'],94.0,,['Исполнение желаний'],['1974 film by Svetlana Druzhinina'],['drama film'],['Soviet Union'],,['Q4168820'],['Mosfilm'],['tt0070230'],['42636'],"['Q380250', 'Q754131', 'Q1967736']",['Veniamin Kaverin'],,['Anatoly Mukasey'],['Murad Kajlayev'],['https://ru.wikipedia.org/wiki/Исполнение_желаний_(фильм)']
Vystrel v tumane,Q4129654,1963.0,['film'],87.0,['Vystrel v tumane'],['Выстрел в тумане'],['1963 film by Aleksandr Seryj'],['adventure film'],['Soviet Union'],['Russian'],"['Q4088836', 'Q4417863']",['Mosfilm'],['tt0314861'],['45982'],['Q4385350'],"['Mikhail Maklyarsky', 'Vladimir Alekseyev']",['Nt227ingq8g'],,['Aleksandr Flyarkovsky'],['https://ru.wikipedia.org/wiki/Выстрел_в_тумане']
Vid na zhitelstvo,Q4110562,1972.0,['film'],89.0,['Vid na zhitelstvo'],['Вид на жительство'],['1972 film'],['drama film'],['Soviet Union'],['Russian'],"['Q4442473', 'Q20556929']",['Mosfilm'],['tt0332814'],['45767'],"['Q3391400', 'Q4329539', 'Q4494047']","['Sergey Mikhalkov', 'Aleksander Shlepyanov']",['5qZ_lKUeNd0'],,,"['https://ru.wikipedia.org/wiki/Вид_на_жительство_(фильм,_1972)']"
Qäzälxan,Q4131655,1991.0,['film'],148.0,['Qäzälxan'],['Газельхан'],['1991 film by Shahmar Alakbarov'],['drama film'],['Soviet Union'],['Russian'],['Q16377979'],['Azerbaijanfilm'],['tt2741420'],['573645'],"['Q1195686', 'Q4334549', 'Q12840749', 'Q12841425', 'Q12842035', 'Q16371937']",['Shahmar Alakbarov'],,"['Rafig Aliyev', 'Rafiq Əliyev']","['Ramiz Mirishli', 'Nazim Mirişli']",['https://ru.wikipedia.org/wiki/Газельхан']
Gosudarstvennaya granitsa: Krasnyy pesok,Q4146557,1984.0,['film'],,['Gosudarstvennaya granitsa: Krasnyy pesok'],['Государственная граница. Красный песок'],['1984 film by Boris Stepanov'],['war film'],['Soviet Union'],['Russian'],['Q4441775'],['Belarusfilm'],['tt2693746'],['255218'],"['Q143030', 'Q4100413', 'Q4131568', 'Q4215097', 'Q4293608', 'Q4522310', 'Q4536889', 'Q5620179', 'Q15114675', 'Q20742414', 'Q56394055']","['Gely Ryabov', 'Aleksei Nagornyj']",,,['Eduard Khagagortyan'],['https://ru.wikipedia.org/wiki/Государственная_граница._Красный_песок']
