film_id,film_name,actor_id,actor_name
Q4400743,The Russian Question,Q4060002,Vsevolod Aksyonov
Q4363366,Pirogov,Q713014,Nikolay Cherkasov
Q4364375,Пламя,Q1713901,Yuriy Kayurov
Q4170923,Дура,Q470452,Anna Samokhina
Q4359792,The Song of the Old Days,Q16369115,Ashot Adamyan
Q4363366,Pirogov,Q28665145,Yakov Malyutin
Q4360336,Loop,Q4525477,Yury Shlykov
Q4363843,Peter Pan,Q1969281,Lembit Ulfsak
Q4170923,Дура,Q1970312,Larisa Udovichenko
Q4362603,The Queen of Spades,Q721148,Vitaly Solomin
Q4167395,Mothers and Daughters,Q4369827,Lyubov Polekhina
Q4330548,Объявлен розыск...,Q4154705,Natalya Danilova
Q4363366,Pirogov,Q4422288,Konstantin Skorobogatov
Q4363504,"The Feasts of Belshazzar, or a Night with Stalin",Q1695947,Aleksandr Feklistov
Q4400743,The Russian Question,Q4077574,Mariya Barabanova
Q4401094,Rustam and Suhrab,Q4131568,Hoshim Gado
Q4400743,The Russian Question,Q4454703,Boris Tenin
Q4359792,The Song of the Old Days,Q19365987,Verjaluys Mirijanyan
Q4363843,Peter Pan,Q4184407,Denis Zaytsev
Q4359792,The Song of the Old Days,Q20511418,Henrik Alaverdyan
Q4359792,The Song of the Old Days,Q20512630,Shahum Ghazaryan
Q4362603,The Queen of Spades,Q4380980,Viktor Proskurin
Q4364375,Пламя,Q103948,Hannjo Hasse
Q4363366,Pirogov,Q4264602,Pyotr Lobanov
Q4402071,Рысь возвращается,Q16683430,Dmitry Orlovsky
Q4359792,The Song of the Old Days,Q4322571,Galya Novents
Q4172244,Дюма на Кавказе,Q1966522,Ramaz Chkhikvadze
Q4171286,Whit Monday,Q4315827,Anzhelika Nevolina
Q4400743,The Russian Question,Q1039405,Yelena Alexandrovna Kuzmina
Q4167395,Mothers and Daughters,Q845854,Tamara Makarova
Q4364375,Пламя,Q12835845,Andro Kobaladze
Q4359792,The Song of the Old Days,Q16371788,Artyusha Gyodakyan
Q4172244,Дюма на Кавказе,Q4077738,Vyacheslav Baranov
Q4172244,Дюма на Кавказе,Q4401835,Ivan Ryzhov
Q4362603,The Queen of Spades,Q380250,Innokenty Smoktunovsky
Q4362601,The Queen of Spades,Q614494,Oleg Strizhenov
Q4401094,Rustam and Suhrab,Q4105253,Bimbolat Vatayev
Q4330575,An Ordinary Miracle,Q593118,Oleg Vidov
Q4172244,Дюма на Кавказе,Q7262061,Kakhi Kavsadze
Q4362603,The Queen of Spades,Q4074697,Vitali Baganov
Q4362603,The Queen of Spades,Q4171653,Irina Dymchenko
Q4363366,Pirogov,Q2656642,Andrei Kostrichkin
Q4362440,Пигмалион,Q4106858,Yevgeny Velikhov
Q4330575,An Ordinary Miracle,Q4133732,Erast Garin
Q4171286,Whit Monday,Q4141807,Vladimir Golovin
Q4359798,Песня о Кольцове,Q3918052,Vsevolod Sanayev
Q4167223,Dostigayev and Others,Q4443931,Vladislav Strzhelchik
Q4401094,Rustam and Suhrab,Q4498719,Olim Xoʻjayev
Q4401774,Рыжий самолёт,Q7938514,Vladimir Msryan
Q4171576,Dym otechestva,Q4191942,Mikhail Zimin
Q4362603,The Queen of Spades,Q4141010,Yelena Gogoleva
Q4330575,An Ordinary Miracle,Q4231259,Aleksey Konsovsky
Q4401774,Рыжий самолёт,Q4350457,Svetlana Pereladova
Q4401094,Rustam and Suhrab,Q1967346,Otar Koberidze
Q4400743,The Russian Question,Q2378069,Mikhail Astangov
Q4172244,Дюма на Кавказе,Q4206952,Lika Kavzharadze
Q4167395,Mothers and Daughters,Q380250,Innokenty Smoktunovsky
Q4167223,Dostigayev and Others,Q4370195,Vitaly Politseymako
Q4362440,Пигмалион,Q4191550,Darya Zerkalova
Q4172244,Дюма на Кавказе,Q571006,Victor Pavlov
