header_id,occures_in
C1_facs_265_tr_1700432112,C1_facs_293_tr_1700322596
C1_facs_265_tr_1700432112,C1_facs_304_tr_1700430383
C1_facs_265_tr_1700432112,C1_facs_308_tr_1700431068
C1_facs_265_tr_1700432112,C1_facs_313_tr_1700431948
C1_facs_265_tr_1700432112,C1_facs_314_tr_1700430055
C1_facs_265_tr_1700432112,C1_facs_333_tr_1700431827
C1_facs_265_tr_1700432112,C1_facs_346_tr_1700429710
C1_facs_265_tr_1700432112,C1_facs_350_tr_1700431648
C1_facs_265_tr_1700432112,C1_facs_363_tr_1700322848
C1_facs_265_tr_1700432112,C1_facs_387_tr_1700430241
C1_facs_265_tr_1700432112,C1_facs_388_tr_1700429290
C1_facs_265_tr_1700432112,C1_facs_424_tr_1700431743
C1_facs_265_tr_1700432112,C1_facs_435_tr_1700431387
C1_facs_265_tr_1700432112,C1_facs_449_tr_1700430726
C1_facs_265_tr_1700432112,C1_facs_456_tr_1700429863
C1_facs_265_tr_1700432112,C1_facs_464_tr_1700431997
C1_facs_265_tr_1700432112,C1_facs_475_tr_1700431326
C1_facs_265_tr_1700432112,C1_facs_487_tr_1700431394
C1_facs_265_tr_1700432112,C1_facs_506_tr_1700429519
C1_facs_265_tr_1700432112,C2_facs_2_tr_1700920385
C1_facs_265_tr_1700432112,C2_facs_3_tr_1700919157
C1_facs_265_tr_1700432112,C2_facs_24_tr_1700919828
C1_facs_265_tr_1700432112,C2_facs_45_tr_1700921187
C1_facs_265_tr_1700432112,C2_facs_69_tr_1700920094
C1_facs_265_tr_1700432112,C2_facs_88_tr_1700919414
C1_facs_265_tr_1700432112,C2_facs_88_tr_1700919411
C1_facs_265_tr_1700432112,C2_facs_90_tr_1700921103
C1_facs_265_tr_1700432112,C2_facs_105_tr_1700921259
C1_facs_265_tr_1700432112,C2_facs_113_tr_1700921626
C1_facs_265_tr_1700432112,C2_facs_118_tr_1700920305
C1_facs_265_tr_1700432112,C2_facs_135_tr_1700919062
C1_facs_265_tr_1700432112,C2_facs_138_tr_1700920292
C1_facs_265_tr_1700432112,C2_facs_139_tr_1700921251
C1_facs_265_tr_1700432112,C2_facs_140_tr_1700920796
C1_facs_265_tr_1700432112,C2_facs_141_tr_1700919009
C1_facs_265_tr_1700432112,C2_facs_146_tr_1700919807
C1_facs_265_tr_1700432112,C2_facs_169_tr_1700919373
C1_facs_265_tr_1700432112,C2_facs_184_tr_1700919043
C1_facs_265_tr_1700432112,C2_facs_189_tr_1700921605
C1_facs_265_tr_1700432112,C2_facs_199_tr_1700918720
C1_facs_265_tr_1700432112,C2_facs_211_tr_1700920423
C1_facs_265_tr_1700432112,C2_facs_233_tr_1700919013
C1_facs_265_tr_1700432112,C2_facs_233_tr_1700919018
C1_facs_265_tr_1700432112,C2_facs_234_tr_1700920408
C1_facs_265_tr_1700432112,C2_facs_235_tr_1700921321
C1_facs_265_tr_1700432112,C2_facs_251_tr_1700918727
C1_facs_265_tr_1700432112,C2_facs_258_tr_1700918667
C1_facs_265_tr_1700432112,C2_facs_268_tr_1700920237
C1_facs_265_tr_1700432112,C2_facs_270_tr_1700921198
C1_facs_265_tr_1700432112,C2_facs_275_tr_1700919045
C1_facs_265_tr_1700432112,C2_facs_285_tr_1700919453
C1_facs_265_tr_1700432112,C2_facs_302_tr_1700920618
C1_facs_265_tr_1700432112,C2_facs_310_tr_1700921404
C1_facs_265_tr_1700432112,C2_facs_329_tr_1700919761
C1_facs_265_tr_1700432112,C2_facs_359_tr_1700919979
C1_facs_265_tr_1700432112,C2_facs_360_tr_1700920342
C1_facs_265_tr_1700432112,C2_facs_384_tr_1700918860
C1_facs_265_tr_1700432112,C2_facs_386_tr_1700919607
C1_facs_265_tr_1700432112,C2_facs_389_tr_1700921387
C1_facs_265_tr_1700432112,C2_facs_404_tr_1700919276
C1_facs_265_tr_1700432112,C2_facs_413_tr_1700918921
C1_facs_268_tr_1700432007,C1_facs_313_tr_1700431946
C1_facs_268_tr_1700432007,C2_facs_284_tr_1700919164
C1_facs_268_tr_1700432007,C2_facs_393_tr_1700918906
C1_facs_272_tr_1700432072,C1_facs_452_tr_1700430362
C1_facs_277_tr_1700432188,C1_facs_159_tr_1700430252
C1_facs_277_tr_1700432188,C2_facs_242_tr_1700921456
C1_facs_277_tr_1700432188,C2_facs_393_tr_1700918907
C1_facs_285_tr_1700430415,C2_facs_251_tr_1700918733
C1_facs_290_region_1700295335048_37,C1_facs_26_tr_1700316510
C1_facs_290_region_1700295335048_37,C1_facs_46_tr_1700322553
C1_facs_290_region_1700295335048_37,C1_facs_125_region_1700262591140_1592
C1_facs_290_region_1700295335048_37,C1_facs_395_tr_1700429288
C1_facs_290_region_1700295335048_37,C1_facs_397_tr_1700432532
C1_facs_290_region_1700295335048_37,C1_facs_523_tr_1700432438
C1_facs_290_region_1700295335048_37,C2_facs_62_tr_1700918750
C1_facs_290_region_1700295335048_37,C2_facs_103_tr_1700921309
